# Wavelength[nm],R%
775.0,0.55692
775.5,0.56
776.0,0.56872
776.5,0.60667
777.0,0.67107
777.5,0.65993
778.0,0.67521
778.5,0.73833
779.0,0.75321
779.5,0.80309
780.0,0.82173
780.5,0.84402
781.0,0.84373
781.5,0.82065
782.0,0.87716
782.5,0.954
783.0,0.96037
783.5,0.96344
784.0,0.93116
784.5,0.92902
785.0,0.96772
785.5,0.9258
786.0,0.97551
786.5,0.97544
787.0,0.95432
787.5,0.90545
788.0,0.96133
788.5,0.81703
789.0,0.89193
789.5,0.86542
790.0,0.8385
790.5,0.79542
791.0,0.78068
791.5,0.74503
792.0,0.75617
792.5,0.77469
793.0,0.6965
793.5,0.64718
794.0,0.64615
794.5,0.62416
795.0,0.66606
795.5,0.57279
796.0,0.48558
796.5,0.54318
797.0,0.48837
797.5,0.52678
798.0,0.522
798.5,0.38796
799.0,0.44322
799.5,0.39016
800.0,0.62575
800.5,0.58538
801.0,0.6472
801.5,0.61406
802.0,0.63482
802.5,0.57205
803.0,0.65315
803.5,0.6795
804.0,0.62987
804.5,0.79815
805.0,0.68606
805.5,0.7733
806.0,0.82094
806.5,0.77832
807.0,0.78381
807.5,0.91792
808.0,0.94593
808.5,0.95504
809.0,1.05385
809.5,1.06964
810.0,1.09426
810.5,1.08267
811.0,1.17073
811.5,1.24123
812.0,1.22973
812.5,1.24601
813.0,1.27468
813.5,1.36284
814.0,1.33734
814.5,1.41068
815.0,1.4035
815.5,1.45425
816.0,1.39427
816.5,1.42835
817.0,1.43912
817.5,1.40686
818.0,1.46294
818.5,1.44907
819.0,1.48048
819.5,1.47696
820.0,1.48638
820.5,1.43561
821.0,1.4454
821.5,1.41563
822.0,1.47544
822.5,1.43044
823.0,1.31708
823.5,1.29679
824.0,1.34221
824.5,1.30221
825.0,1.29396
825.5,1.25499
826.0,1.26339
826.5,1.25012
827.0,1.08533
827.5,1.10894
828.0,1.01882
828.5,1.03909
829.0,1.03576
829.5,1.01531
830.0,0.97584
830.5,0.89499
831.0,0.9312
831.5,0.87426
832.0,0.86915
832.5,0.82815
833.0,0.83976
833.5,0.79384
834.0,0.74026
834.5,0.76374
835.0,0.83452
835.5,0.78465
836.0,0.80022
836.5,0.76111
837.0,0.70782
837.5,0.76712
838.0,0.73551
838.5,0.85577
839.0,0.75985
839.5,0.77202
840.0,0.78858
840.5,0.8583
841.0,0.82475
841.5,0.82005
842.0,0.8722
842.5,0.82816
843.0,0.87152
843.5,0.93223
844.0,0.88323
844.5,0.91588
845.0,0.96756
845.5,0.99209
846.0,0.95527
846.5,0.98729
847.0,1.05107
847.5,1.03532
848.0,1.00927
848.5,1.03379
849.0,1.0736
849.5,1.07236
850.0,1.07635
850.5,1.09152
851.0,1.10827
851.5,1.06918
852.0,1.11899
852.5,1.07967
853.0,1.05841
853.5,1.0464
854.0,1.12111
854.5,1.07347
855.0,0.97481
855.5,1.015
856.0,0.98084
856.5,0.99982
857.0,0.96371
857.5,0.90273
858.0,1.01241
858.5,0.86081
859.0,0.90248
859.5,0.82305
860.0,0.87006
860.5,0.88485
861.0,0.77978
861.5,0.74999
862.0,0.75282
862.5,0.68464
863.0,0.66705
863.5,0.63034
864.0,0.67656
864.5,0.64335
865.0,0.60896
865.5,0.60422
866.0,0.6286
866.5,0.53118
867.0,0.54489
867.5,0.51459
868.0,0.44172
868.5,0.45912
869.0,0.53553
869.5,0.48523
870.0,0.51866
870.5,0.4484
871.0,0.48163
871.5,0.49909
872.0,0.44194
872.5,0.46994
873.0,0.51167
873.5,0.51751
874.0,0.51202
874.5,0.48924
875.0,0.55194
875.5,0.55255
876.0,0.57046
876.5,0.56211
877.0,0.6384
877.5,0.68561
878.0,0.66482
878.5,0.74665
879.0,0.7619
879.5,0.77296
880.0,0.81555
880.5,0.82036
881.0,0.82071
881.5,0.85843
882.0,0.88805
882.5,0.879
883.0,0.92196
883.5,0.93914
884.0,0.96854
884.5,1.00474
885.0,0.99454
885.5,0.95293
886.0,1.02781
886.5,1.0647
887.0,1.05172
887.5,1.02281
888.0,1.07585
888.5,1.02418
889.0,1.01839
