#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
980	0.9346502
981	0.9346531
982	0.9346561
983	0.934659
984	0.9346619
985	0.9346649
986	0.9346678
987	0.9346707
988	0.9346736
989	0.9346765
990	0.9346794
991	0.9346824
992	0.9346853
993	0.9346882
994	0.9346911
995	0.934694
996	0.9346969
997	0.9346998
998	0.9347026
999	0.9347055
1000	0.9347084
1001	0.9347113
1002	0.9347142
1003	0.9347171
1004	0.9347199
1005	0.9347228
1006	0.9347257
1007	0.9347285
1008	0.9347314
1009	0.9347343
1010	0.9347371
1011	0.93474
1012	0.9347428
1013	0.9347457
1014	0.9347485
1015	0.9347514
1016	0.9347542
1017	0.9347571
1018	0.9347599
1019	0.9347627
1020	0.9347656
1021	0.9347684
1022	0.9347712
1023	0.9347741
1024	0.9347769
1025	0.9347797
1026	0.9347825
1027	0.9347853
1028	0.9347882
1029	0.934791
1030	0.9347938
1031	0.9347966
1032	0.9347994
1033	0.9348022
1034	0.934805
1035	0.9348078
1036	0.9348106
1037	0.9348134
1038	0.9348162
1039	0.934819
1040	0.9348218
1041	0.9348245
1042	0.9348273
1043	0.9348301
1044	0.9348329
1045	0.9348357
1046	0.9348384
1047	0.9348412
1048	0.934844
1049	0.9348468
1050	0.9348495
1051	0.9348523
1052	0.9348551
1053	0.9348578
1054	0.9348606
1055	0.9348633
1056	0.9348661
1057	0.9348689
1058	0.9348716
1059	0.9348744
1060	0.9348771
1061	0.9348799
1062	0.9348826
1063	0.9348853
1064	0.9348881
1065	0.9348908
1066	0.9348936
1067	0.9348963
1068	0.934899
1069	0.9349018
1070	0.9349045
1071	0.9349072
1072	0.93491
1073	0.9349127
1074	0.9349154
1075	0.9349181
1076	0.9349209
1077	0.9349236
1078	0.9349263
1079	0.934929
1080	0.9349317
1081	0.9349344
1082	0.9349372
1083	0.9349399
1084	0.9349426
1085	0.9349453
1086	0.934948
1087	0.9349507
1088	0.9349534
1089	0.9349561
1090	0.9349588
1091	0.9349615
1092	0.9349642
1093	0.9349669
1094	0.9349696
1095	0.9349723
1096	0.934975
1097	0.9349777
1098	0.9349804
1099	0.934983
1100	0.9349857
1101	0.9349884
1102	0.9349911
1103	0.9349938
1104	0.9349965
1105	0.9349991
1106	0.9350018
1107	0.9350045
1108	0.9350072
1109	0.9350099
1110	0.9350125
1111	0.9350152
1112	0.9350179
1113	0.9350205
1114	0.9350232
1115	0.9350259
1116	0.9350285
1117	0.9350312
1118	0.9350339
1119	0.9350365
1120	0.9350392
1121	0.9350419
1122	0.9350445
1123	0.9350472
1124	0.9350498
1125	0.9350525
1126	0.9350552
1127	0.9350578
1128	0.9350605
1129	0.9350631
1130	0.9350658
1131	0.9350747
1132	0.9350773
