# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
775.44 1443.531
776.20 1442.487
776.95 1441.421
777.70 1440.354
778.46 1439.286
779.21 1438.217
779.97 1436.704
780.72 1434.695
781.47 1432.685
782.23 1430.672
782.98 1428.658
783.74 1426.591
784.49 1424.398
785.24 1422.202
786.00 1420.005
786.75 1417.805
787.51 1415.509
788.26 1412.068
789.01 1408.623
789.77 1405.176
790.52 1401.727
791.28 1398.274
792.03 1395.725
792.78 1393.348
793.54 1390.968
794.29 1388.586
795.05 1386.202
795.80 1384.83
796.55 1384.2
797.31 1383.568
798.06 1382.937
798.82 1382.304
799.57 1381.281
800.32 1379.355
801.08 1377.515
801.83 1375.673
802.59 1373.829
803.34 1371.983
804.09 1369.906
804.85 1367.819
805.60 1365.73
806.36 1363.639
807.11 1361.545
807.86 1359.961
808.62 1358.679
809.37 1357.395
810.13 1356.109
810.88 1354.821
811.63 1353.312
812.39 1351.168
813.14 1349.022
813.90 1346.873
814.65 1344.721
815.40 1342.568
816.16 1339.047
816.91 1335.304
817.67 1331.556
818.42 1327.805
819.17 1324.05
819.93 1321.429
820.68 1320.262
821.44 1319.092
822.19 1317.921
822.94 1316.748
823.70 1315.574
824.45 1315.071
825.21 1314.575
825.96 1314.078
826.71 1313.58
827.47 1313.08
828.22 1311.559
828.98 1309.051
829.73 1306.541
830.48 1304.027
831.24 1301.511
831.99 1298.995
832.75 1297.279
833.50 1295.561
834.25 1293.841
835.01 1292.118
835.76 1290.394
836.52 1288.815
837.27 1287.401
838.02 1285.986
838.78 1284.568
839.53 1283.149
840.29 1281.728
841.04 1279.158
841.79 1276.472
842.55 1273.783
843.30 1271.091
844.06 1268.396
844.81 1264.678
845.56 1258.794
846.32 1252.905
847.07 1247.01
847.83 1241.109
848.58 1235.202
849.33 1229.1
850.09 1222.926
850.84 1216.851
851.60 1210.769
852.35 1204.679
853.10 1199.053
853.86 1200.852
854.61 1202.652
855.37 1204.454
856.12 1206.257
856.87 1208.061
857.63 1209.679
858.38 1211.001
859.14 1212.323
859.89 1213.645
860.64 1214.969
861.40 1216.293
862.15 1213.562
862.91 1208.956
863.66 1204.344
864.41 1199.726
865.17 1195.102
865.92 1190.473
866.68 1190.989
867.43 1191.756
868.18 1192.522
868.94 1193.289
869.69 1194.056
870.45 1195.056
871.20 1197.015
871.95 1198.976
872.71 1200.938
873.46 1202.901
874.22 1204.866
874.97 1205.571
875.72 1204.437
876.48 1203.301
877.23 1202.163
877.99 1201.023
878.74 1199.881
879.49 1198.532
880.25 1197.039
881.00 1195.543
881.76 1194.044
882.51 1192.544
883.26 1191.041
884.02 1190.38
884.77 1190.01
885.53 1189.64
886.28 1189.268
887.03 1188.895
887.79 1188.522
888.54 1188.1
889.30 1187.669
890.05 1187.238
890.80 1186.806
891.56 1186.372
892.31 1185.937
893.07 1184.085
893.82 1182.175
894.57 1180.263
895.33 1178.348
896.08 1176.43
896.84 1174.498
897.59 1172.175
898.34 1169.848
899.10 1167.519
899.85 1165.186
900.61 1162.883
901.36 1160.664
902.11 1159.613
902.87 1158.56
903.62 1157.506
904.38 1156.449
905.13 1155.39
905.88 1154.335
906.64 1153.34
907.39 1152.343
908.15 1151.345
908.90 1150.345
909.65 1149.343
910.41 1148.352
911.16 1147.648
911.92 1146.942
912.67 1146.234
913.42 1145.525
914.18 1144.815
914.93 1144.103
915.69 1141.481
916.44 1138.838
917.19 1136.191
917.95 1133.54
918.70 1130.886
919.46 1128.228
920.21 1125.846
920.96 1123.49
921.72 1121.13
922.47 1118.768
923.23 1116.401
923.98 1114.032
924.73 1113.932
925.49 1114.434
926.24 1114.936
927.00 1115.438
927.75 1115.94
928.50 1116.441
929.26 1116.53
930.01 1116.39
930.77 1116.249
931.52 1116.108
932.27 1115.966
933.03 1115.822
933.78 1114.754
934.54 1112.634
935.29 1110.51
936.04 1108.384
936.80 1106.254
937.55 1104.121
938.31 1102.05
939.06 1100.157
939.81 1098.261
940.57 1096.363
941.32 1094.462
942.08 1092.558
942.83 1090.687
943.58 1090.415
944.34 1090.141
945.09 1089.867
945.85 1089.592
946.60 1089.316
947.35 1089.04
948.11 1087.939
948.86 1086.563
949.62 1085.184
950.37 1083.81
951.12 1082.44
951.88 1081.067
952.63 1079.645
953.39 1078.163
954.14 1076.678
954.89 1075.191
955.65 1073.702
956.40 1072.211
957.16 1070.818
957.91 1070.198
958.66 1069.577
959.42 1068.955
960.17 1068.331
960.93 1067.706
961.68 1067.079
962.43 1066.283
963.19 1065.429
963.94 1064.573
964.70 1063.716
965.45 1062.858
966.20 1061.997
966.96 1061.179
967.71 1060.438
968.47 1059.696
969.22 1058.952
969.97 1058.207
970.73 1057.46
971.48 1056.712
972.24 1055.756
972.99 1054.781
973.74 1053.805
974.50 1052.827
975.25 1051.847
976.01 1050.866
976.76 1049.966
977.51 1049.161
978.27 1048.354
979.02 1047.547
979.78 1046.737
980.53 1045.926
981.28 1045.114
982.04 1044.14
982.79 1043.159
983.55 1042.177
984.30 1041.193
985.05 1040.208
985.81 1039.22
986.56 1038.285
987.32 1037.417
988.07 1036.547
988.82 1035.675
989.58 1034.802
990.33 1033.927
991.09 1033.051
991.84 1032.28
992.59 1031.523
993.35 1030.763
994.10 1030.003
994.86 1029.241
995.61 1028.477
996.36 1027.397
997.12 1025.553
997.87 1023.707
998.63 1021.859
999.38 1020.007
1000.13 1018.144
1000.89 1016.232
1001.64 1014.4
1002.40 1012.609
1003.15 1010.815
1003.90 1009.019
1004.66 1007.221
1005.41 1005.42
1006.17 1003.629
1006.92 1003.257
1007.67 1002.884
1008.43 1002.51
1009.18 1002.136
1009.94 1001.76
1010.69 1001.384
1011.44 1000.752
1012.20 999.5835
1012.95 998.4139
1013.71 997.2427
1014.46 996.0699
