# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
1172.05 464.5213
1172.80 463.8398
1173.55 463.1585
1174.31 462.4773
1175.06 461.7612
1175.82 460.8942
1176.57 460.0274
1177.32 459.1608
1178.08 458.2943
1178.83 457.4279
1179.59 456.5618
1180.34 455.6958
1181.09 454.8906
1181.85 454.1859
1182.60 453.4813
1183.36 452.7769
1184.11 452.0726
1184.86 451.3684
1185.62 450.6644
1186.37 449.9605
1187.13 449.2918
1187.88 448.6548
1188.63 448.018
1189.39 447.3813
1190.14 446.7447
1190.90 446.1082
1191.65 445.4719
1192.40 444.8356
1193.16 444.0468
1193.91 443.1648
1194.67 442.2829
1195.42 441.4013
1196.17 440.5198
1196.93 439.6385
1197.68 438.7573
1198.44 437.8763
1199.19 437.1472
1199.94 436.4864
1200.70 435.819
1201.45 435.1511
1202.21 434.4834
1202.96 433.8159
1203.71 433.1485
1204.47 432.4812
1205.22 432.0366
1205.98 431.679
1206.73 431.3215
1207.48 430.9641
1208.24 430.6068
1208.99 430.2495
1209.75 429.8923
1210.50 429.5352
1211.25 429.3087
1212.01 429.136
1212.76 428.9633
1213.52 428.7906
1214.27 428.618
1215.02 428.4453
1215.78 428.2728
1216.53 428.1002
1217.29 427.7089
1218.04 427.204
1218.79 426.6992
1219.55 426.1944
1220.30 425.6898
1221.06 425.1853
1221.81 424.6809
1222.56 424.1766
1223.32 423.5882
1224.07 422.9358
1224.83 422.2836
1225.58 421.6315
1226.33 420.9796
1227.09 420.3278
1227.84 419.6762
1228.60 419.0247
1229.35 418.3881
1230.10 417.7706
1230.86 417.1533
1231.61 416.5361
1232.37 415.9191
1233.12 415.3022
1233.87 414.6854
1234.63 414.0688
1235.38 413.4452
1236.14 412.8009
1236.89 412.1568
1237.64 411.5128
1238.40 410.8689
1239.15 410.2252
1239.91 409.5816
1240.66 408.9382
1241.41 408.2977
1242.17 407.7165
1242.92 407.1355
1243.68 406.5547
1244.43 405.9739
1245.18 405.3933
1245.94 404.8128
1246.69 404.2325
1247.45 403.6523
1248.20 403.0515
1248.95 402.4455
1249.71 401.8397
1250.46 401.2383
1251.22 400.6395
1251.97 400.0409
1252.72 399.4424
1253.48 398.8441
1254.23 398.2327
1254.99 397.608
1255.74 396.9835
1256.49 396.359
1257.25 395.7347
1258.00 395.1105
1258.76 394.4864
1259.51 393.8624
1260.26 393.2478
1261.02 392.6849
1261.77 392.1221
1262.53 391.5594
1263.28 390.9969
1264.03 390.4344
1264.79 389.872
1265.54 389.3098
1266.30 388.7476
1267.05 388.0987
1267.80 387.4237
1268.56 386.7489
1269.31 386.0742
1270.07 385.3997
1270.82 384.7253
1271.57 384.051
1272.33 383.3768
1273.08 382.5442
1273.84 381.4139
1274.59 380.2839
1275.34 379.154
1276.10 378.0244
1276.85 376.895
1277.61 375.7659
1278.36 374.6369
