# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
860.64 984.9541
861.40 985.4308
862.15 982.6235
862.91 978.3019
863.66 973.9809
864.41 969.6603
865.17 965.3403
865.92 961.0208
866.68 960.8574
867.43 960.8962
868.18 960.9351
868.94 960.9739
869.69 961.0127
870.45 961.2384
871.20 962.2353
871.95 963.2321
872.71 964.2288
873.46 965.2254
874.22 966.2218
874.97 966.2066
875.72 964.7189
876.48 963.2313
877.23 961.7438
877.99 960.2566
878.74 958.7695
879.49 957.1191
880.25 955.3546
881.00 953.5904
881.76 951.8264
882.51 950.0625
883.26 948.2989
884.02 947.2074
884.77 946.3488
885.53 945.4903
886.28 944.6319
887.03 943.7736
887.79 942.9153
888.54 942.02
889.30 941.119
890.05 940.2181
890.80 939.3173
891.56 938.4166
892.31 937.516
893.07 935.4965
893.82 933.4341
894.57 931.3719
895.33 929.3099
896.08 927.2482
896.84 925.178
897.59 922.8016
898.34 920.4256
899.10 918.0498
899.85 915.6743
900.61 913.3211
901.36 911.0359
902.11 909.6694
902.87 908.303
903.62 906.9367
904.38 905.5704
905.13 904.2042
905.88 902.8419
906.64 901.5288
907.39 900.2159
908.15 898.9031
908.90 897.5903
909.65 896.2776
910.41 894.9755
911.16 893.8976
911.92 892.8198
912.67 891.7421
913.42 890.6644
914.18 889.5868
914.93 888.5092
915.69 885.9507
916.44 883.3785
917.19 880.8065
917.95 878.2346
918.70 875.6628
919.46 873.0912
920.21 870.7361
920.96 868.4036
921.72 866.0712
922.47 863.739
923.23 861.4069
923.98 859.075
924.73 858.4948
925.49 858.3791
926.24 858.2633
927.00 858.1476
927.75 858.0318
928.50 857.9161
929.26 857.4832
930.01 856.8756
930.77 856.268
931.52 855.6604
932.27 855.0529
933.03 854.4454
933.78 853.1306
934.54 851.0124
935.29 848.8944
936.04 846.7765
936.80 844.6587
937.55 842.541
938.31 840.4722
939.06 838.5422
939.81 836.6123
940.57 834.6825
941.32 832.7529
942.08 830.8233
942.83 828.9203
943.58 828.2344
944.34 827.5486
945.09 826.8628
945.85 826.177
946.60 825.4913
947.35 824.8056
948.11 823.4971
948.86 821.9817
949.62 820.4665
950.37 818.9694
951.12 817.4912
951.88 816.0129
952.63 814.4988
953.39 812.941
954.14 811.3832
954.89 809.8253
955.65 808.2673
956.40 806.7093
957.16 805.2273
957.91 804.3278
958.66 803.4284
