# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
866.68 1053.355
867.43 1053.662
868.18 1053.969
868.94 1054.276
869.69 1054.583
870.45 1055.095
871.20 1056.454
871.95 1057.814
872.71 1059.174
873.46 1060.535
874.22 1061.896
874.97 1062.145
875.72 1060.775
876.48 1059.405
877.23 1058.034
877.99 1056.663
878.74 1055.291
879.49 1053.738
880.25 1052.059
881.00 1050.379
881.76 1048.698
882.51 1047.017
883.26 1045.335
884.02 1044.393
884.77 1043.707
885.53 1043.022
886.28 1042.335
887.03 1041.649
887.79 1040.962
888.54 1040.233
889.30 1039.498
890.05 1038.763
890.80 1038.027
891.56 1037.291
892.31 1036.554
893.07 1034.58
893.82 1032.557
894.57 1030.533
895.33 1028.509
896.08 1026.483
896.84 1024.447
897.59 1022.071
898.34 1019.694
899.10 1017.316
899.85 1014.937
900.61 1012.578
901.36 1010.294
902.11 1009.027
902.87 1007.76
903.62 1006.492
904.38 1005.223
905.13 1003.954
905.88 1002.688
906.64 1001.477
907.39 1000.264
908.15 999.0515
908.90 997.8379
909.65 996.6238
910.41 995.4208
911.16 994.4665
911.92 993.5117
912.67 992.5564
913.42 991.6006
914.18 990.6443
914.93 989.6875
915.69 987.0801
916.44 984.456
917.19 981.8308
917.95 979.2043
918.70 976.5766
919.46 973.9476
920.21 971.5588
920.96 969.194
921.72 966.8281
922.47 964.4611
923.23 962.0929
923.98 959.7237
924.73 959.3107
925.49 959.4164
926.24 959.5221
927.00 959.6278
927.75 959.7334
928.50 959.839
929.26 959.5896
930.01 959.1444
930.77 958.6989
931.52 958.2532
932.27 957.8071
933.03 957.3608
933.78 956.1214
934.54 953.9808
935.29 951.8392
936.04 949.6965
936.80 947.5529
937.55 945.4082
938.31 943.3173
939.06 941.381
939.81 939.4438
940.57 937.5058
941.32 935.5668
942.08 933.6268
942.83 931.7157
943.58 931.1719
944.34 930.6278
945.09 930.0834
945.85 929.5387
946.60 928.9937
947.35 928.4484
948.11 927.2014
948.86 925.7207
949.62 924.2394
950.37 922.7936
951.12 921.3845
951.88 919.9744
952.63 918.523
953.39 917.0213
954.14 915.5186
954.89 914.0149
955.65 912.5101
956.40 911.0043
957.16 909.5833
957.91 908.8196
958.66 908.0553
959.42 907.2905
960.17 906.525
960.93 905.7589
961.68 904.9922
962.43 904.082
963.19 903.1236
963.94 902.1644
964.70 901.2046
965.45 900.2441
966.20 899.2828
966.96 898.3576
967.71 897.4987
968.47 896.6391
969.22 895.7789
969.97 894.918
970.73 894.0565
971.48 893.1944
972.24 892.157
972.99 891.1047
973.74 890.0515
974.50 888.9976
975.25 887.943
976.01 886.8876
976.76 885.9016
977.51 884.9964
978.27 884.0906
979.02 883.1841
979.78 882.2769
980.53 881.369
981.28 880.4605
982.04 879.4166
982.79 878.3677
983.55 877.318
984.30 876.2676
985.05 875.2165
985.81 874.1646
986.56 873.1573
987.32 872.2066
988.07 871.2551
988.82 870.3029
989.58 869.35
990.33 868.3964
991.09 867.4422
991.84 866.5774
992.59 865.7239
993.35 864.8696
994.10 864.0148
994.86 863.1593
995.61 862.3032
996.36 861.1819
997.12 859.4218
997.87 857.6606
998.63 855.8982
999.38 854.1346
1000.13 852.3659
1000.89 850.5778
1001.64 848.8582
1002.40 847.1726
1003.15 845.486
1003.90 843.7984
1004.66 842.1098
1005.41 840.4202
1006.17 838.7391
1006.92 838.2446
1007.67 837.7496
1008.43 837.2543
1009.18 836.7587
1009.94 836.2626
1010.69 835.7662
1011.44 835.0561
1012.20 833.8998
1012.95 832.7427
1013.71 831.5849
1014.46 830.4264
1015.21 829.2672
1015.97 828.1072
1016.72 827.0929
1017.48 826.1756
1018.23 825.2577
1018.98 824.3392
1019.74 823.4202
1020.49 822.5005
1021.25 821.5803
1022.00 820.8992
1022.75 820.2648
1023.51 819.63
1024.26 818.9948
1025.02 818.3591
1025.77 817.723
1026.52 817.057
1027.28 815.7685
1028.03 814.4792
1028.79 813.1891
1029.54 811.8982
1030.29 810.6066
1031.05 809.3141
1031.80 808.0222
1032.56 806.734
1033.31 805.4451
1034.06 804.1553
1034.82 802.8649
1035.57 801.5736
1036.33 800.2815
1037.08 799.0919
1037.83 798.0867
1038.59 797.0808
1039.34 796.0743
1040.10 795.0671
1040.85 794.0593
1041.60 793.0509
1042.36 792.088
1043.11 791.1781
1043.87 790.2677
1044.62 789.3568
1045.37 788.4452
1046.13 787.5331
1046.88 786.6204
1047.64 785.7337
1048.39 784.8704
1049.14 784.0066
1049.90 783.1423
1050.65 782.2426
1051.41 781.337
1052.16 780.4309
1052.91 779.2425
1053.67 777.834
1054.42 776.4249
1055.18 775.0152
1055.93 773.6048
1056.68 772.1938
1057.44 770.7821
1058.19 769.3473
1058.95 767.8943
1059.70 766.4405
1060.45 764.9861
1061.21 763.5311
1061.96 762.0754
1062.72 760.619
1063.47 759.0938
1064.22 757.5077
1064.98 755.9208
1065.73 754.3332
1066.49 752.7449
1067.24 751.1559
1067.99 749.5662
1068.75 748.1487
1069.50 746.9326
1070.26 745.7158
1071.01 744.4985
1071.76 743.2807
1072.52 742.0622
1073.27 740.8432
1074.03 739.6576
1074.78 738.5337
1075.53 737.4093
1076.29 736.2843
1077.04 735.1588
1077.80 734.0328
1078.55 732.9063
1079.30 731.7315
1080.06 730.3842
1080.81 729.0363
1081.57 727.6879
1082.32 726.3388
1083.07 724.989
1083.83 723.6387
1084.58 722.2843
1085.34 720.8507
1086.09 719.4164
1086.84 717.9815
1087.60 716.5459
1088.35 715.1097
1089.11 713.6729
1089.86 712.2354
1090.61 710.7672
1091.37 709.2921
1092.12 707.8164
1092.88 706.34
1093.63 704.8629
1094.38 703.3852
1095.14 701.9068
1095.89 701.1512
1096.65 700.9346
1097.40 700.7178
1098.15 700.5009
1098.91 700.2839
1099.66 700.0667
1100.42 699.8445
1101.17 699.6578
1101.92 699.5675
1102.68 699.477
1103.43 699.3864
1104.19 699.2958
1104.94 699.2051
1105.69 699.1142
1106.45 699.0234
1107.20 698.3283
1107.96 697.6148
1108.71 696.901
1109.46 696.1868
1110.22 695.4723
1110.97 694.7575
1111.73 694.0424
1112.48 693.1674
1113.23 692.19
1113.99 691.2122
1114.74 690.2339
1115.50 689.2553
1116.25 688.2762
1117.00 687.2967
1117.76 686.2991
1118.51 685.2342
1119.27 684.1688
1120.02 683.103
1120.77 682.0368
1121.53 680.9701
1122.28 679.9029
1123.04 678.8353
1123.79 677.8067
1124.54 676.7887
1125.30 675.7702
1126.05 674.7513
1126.81 673.7319
1127.56 672.7121
1128.31 671.6919
1129.07 670.7292
1129.82 669.8915
1130.58 669.0536
1131.33 668.2152
1132.08 667.3765
1132.84 666.5374
1133.59 665.6979
1134.35 664.8581
1135.10 664.0542
1135.85 663.2592
1136.61 662.4638
1137.36 661.6681
1138.12 660.8721
1138.87 660.0757
1139.62 659.2789
1140.38 658.5979
1141.13 658.2427
1141.89 657.8873
1142.64 657.5318
1143.39 657.176
1144.15 656.8201
1144.90 656.464
1145.66 656.1077
1146.41 655.6648
1147.16 655.1804
1147.92 654.6958
1148.67 654.2109
1149.43 653.7258
1150.18 653.2385
1150.93 652.7448
1151.69 652.2182
1152.44 651.0764
1153.20 649.9341
1153.95 648.7914
1154.70 647.6482
1155.46 646.5046
1156.21 645.3605
1156.97 644.216
1157.72 643.0746
1158.47 641.9378
1159.23 640.8007
1159.98 639.6631
1160.74 638.5251
1161.49 637.3866
1162.24 636.2477
1163.00 635.1084
1163.75 634.3585
1164.51 633.7816
1165.26 633.2044
1166.01 632.627
1166.77 632.0493
1167.52 631.4714
1168.28 630.8933
1169.03 630.3149
1169.78 629.5752
1170.54 628.8285
1171.29 628.0815
1172.05 627.3342
1172.80 626.5866
1173.55 625.8388
1174.31 625.0906
1175.06 624.2947
1175.82 623.2943
1176.57 622.2935
1177.32 621.2923
1178.08 620.2907
1178.83 619.2887
1179.59 618.2863
1180.34 617.2836
1181.09 616.3626
1181.85 615.5773
1182.60 614.7916
1183.36 614.0057
1184.11 613.2194
1184.86 612.4328
1185.62 611.6459
1186.37 610.8588
1187.13 610.1188
1187.88 609.4216
1188.63 608.724
1189.39 608.0262
1190.14 607.3282
1190.90 606.6298
1191.65 605.9312
1192.40 605.2322
1193.16 604.3252
1193.91 603.2908
1194.67 602.2559
1195.42 601.2207
1196.17 600.1851
1196.93 599.1491
1197.68 598.1127
1198.44 597.0758
1199.19 596.2455
1199.94 595.508
1200.70 594.7634
1201.45 594.0179
1202.21 593.2722
1202.96 592.5262
1203.71 591.7799
1204.47 591.0334
1205.22 590.5907
1205.98 590.2667
1206.73 589.9427
1207.48 589.6185
1208.24 589.2942
1208.99 588.9697
1209.75 588.6452
1210.50 588.3204
1211.25 588.1744
1212.01 588.1019
1212.76 588.0294
1213.52 587.9569
1214.27 587.8843
1215.02 587.8116
1215.78 587.7389
1216.53 587.6662
1217.29 587.293
1218.04 586.7634
1218.79 586.2336
1219.55 585.7037
1220.30 585.1735
1221.06 584.6431
1221.81 584.1125
1222.56 583.5817
1223.32 582.9349
1224.07 582.1996
1224.83 581.464
1225.58 580.7281
1226.33 579.992
1227.09 579.2556
1227.84 578.5189
1228.60 577.782
