# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.398,4.44883584874620741
1.399,4.62330295621942966
1.400,4.79777006369265280
1.401,4.97223717116590702
1.402,5.14670427863912927
1.403,5.32117138611235152
1.404,5.49563849358560574
1.405,5.67010560105882888
1.406,5.84457270853208311
1.407,6.01903981600530447
1.408,6.19350692347852672
1.409,6.36797403095178094
1.410,6.54244113842500497
1.411,6.71690824589825830
1.412,6.89137535337148055
1.413,7.06584246084470280
1.414,7.24030956831795702
1.415,7.41477667579118105
1.416,7.58924378326443261
1.417,7.76371089073765752
1.418,7.93817799821087799
1.419,8.11264510568413222
1.420,8.28711221315735713
1.421,8.46157932063060869
1.422,8.63604642810383183
1.423,8.81051353557705497
1.424,8.98498064305030830
1.425,9.15944775052352966
1.426,9.33391485799678655
1.427,9.50838196547000791
1.428,9.68284907294323105
1.429,9.85731618041648439
1.430,10.03178328788970752
1.431,10.20625039536292888
1.432,10.38071750283618400
1.433,10.55518461030940713
1.434,10.72965171778265869
1.435,10.90411882525588361
1.436,11.07858593272910497
1.437,11.25305304020235830
1.438,11.42752014767558144
1.439,11.60198725514883655
1.440,11.77645436262205969
1.441,11.95092147009528105
1.442,12.12538857756853439
1.443,12.31265101656579652
1.444,12.66682051051516744
1.445,13.02099000446446908
1.446,13.37515949841377427
1.447,13.72932899236313986
1.448,14.08349848631244505
1.449,14.43766798026181242
1.450,14.79183747421111406
1.451,15.14600696816041925
1.452,15.50017646210978839
1.453,15.85434595605909358
1.454,16.20851545000845562
1.455,16.56268494395776258
1.456,16.91685443790706245
1.457,17.27102393185643336
1.458,17.62519342580573678
1.459,17.97936291975510414
1.460,18.33353241370440756
1.461,18.68770190765371453
1.462,19.04187140160308189
1.463,19.39604089555238176
1.464,19.75021038950168162
1.465,20.10437988345105609
1.466,20.45854937740035950
1.467,20.81271887134972687
1.468,21.16688836529903028
1.469,21.52105785924833370
1.470,21.87522735319769751
1.471,22.22939684714700448
1.472,22.58356634109637184
1.473,22.93773583504567526
1.474,23.29190532899497867
1.475,23.64607482294434604
1.476,24.00024431689364945
1.477,24.35441381084301682
1.478,24.70858330479232379
1.479,25.06275279874162720
1.480,25.41692229269099101
1.481,25.77109178664029443
1.482,26.12526128058966179
1.483,26.47943077453896876
1.484,26.83360026848827218
1.485,27.18776976243763954
1.486,27.54193925638693941
1.487,27.89610875033631388
1.488,28.25027824428561374
1.489,28.60444773823491715
1.490,28.95861723218429162
1.491,29.31278672613358793
1.492,29.66695622008295885
1.493,30.02112571403225871
1.494,30.37529520798156213
1.495,30.72946470193092949
1.496,31.08363419588023291
1.497,31.43780368982953988
1.498,31.79197318377890369
1.499,32.14384941869214884
1.500,32.49471563096032156
1.501,32.84558184322843033
1.502,33.19644805549653910
1.503,33.54731426776472603
1.504,33.89818048003283479
1.505,34.24904669230100751
1.506,34.60592173564035789
1.507,34.96419241635202724
1.508,35.32246309706376053
1.509,35.68073377777542987
1.510,36.03900445848717027
1.511,36.39727513919883961
1.512,36.75554581991050895
1.513,37.11381650062224935
1.514,37.47208718133392580
1.515,37.83035786204565198
1.516,38.18862854275732843
1.517,38.54689922346899777
1.518,38.90516990418073817
1.519,39.26344058489241462
1.520,39.62171126560414791
1.521,39.97998194631581725
1.522,40.33825262702749370
1.523,40.69652330773922699
1.524,41.05479398845090344
1.525,41.41306466916257278
1.526,41.77133534987430608
1.527,42.12960603058598963
1.528,42.48787671129772292
1.529,42.84614739200939226
1.530,43.20441807272106161
1.531,43.56268875343280200
1.532,43.92095943414447135
1.533,44.27923011485621174
1.534,44.63750079556788108
1.535,44.99577147627955043
1.536,45.35404215699128372
1.537,45.71231283770296017
1.538,46.07058351841470056
1.539,46.42885419912637701
1.540,46.78712487983804635
1.541,47.14539556054977965
1.542,47.50366624126145609
1.543,47.86193692197318938
1.544,48.22020760268485873
1.545,48.57847828339653518
1.546,48.93674896410826847
1.547,49.29501964481993781
1.548,49.65329032553167821
1.549,50.01156100624335465
1.550,50.36983168695502400
1.551,50.72810236766676439
1.552,51.08637304837843374
1.553,51.44464372909016703
1.554,51.80291440980185058
1.555,52.16118509051350571
1.556,52.51945577122525322
1.557,52.87772645193691545
1.558,53.23599713264859190
1.559,53.59426781336033230
1.560,53.95253849407200164
