# ThorLabs 400nm longpass cutoff filter
#Wavelength [nm], Transmission[%]
1150,95.772352
1151,95.795288
1152,95.819595
1153,95.82794
1154,95.820192
1155,95.849932
1156,95.909373
1157,95.963132
1158,95.982101
1159,96.016777
1160,96.022674
1161,96.043206
1162,96.100924
1163,96.146692
1164,96.137215
1165,96.157444
1166,96.170806
1167,96.183067
1168,96.184293
1169,96.182204
1170,96.171251
1171,96.150888
1172,96.143751
1173,96.134202
1174,96.129879
1175,96.096271
1176,96.037295
1177,95.995388
1178,95.962543
1179,95.925957
1180,95.866681
1181,95.818606
1182,95.788671
1183,95.748381
1184,95.706389
1185,95.658497
1186,95.66283
1187,95.613143
1188,95.559831
1189,95.552382
1190,95.528007
1191,95.507272
1192,95.505707
1193,95.514481
1194,95.526867
1195,95.515848
1196,95.531953
1197,95.55495
1198,95.577082
1199,95.59902
1200,95.621263
1201,95.654206
1202,95.683146
1203,95.704182
1204,95.721147
1205,95.762034
1206,95.78861
1207,95.793178
1208,95.820407
1209,95.868821
1210,95.889039
1211,95.916447
1212,95.941459
1213,95.940083
1214,95.949933
1215,95.983468
1216,95.991781
1217,95.981494
1218,95.972893
1219,95.971289
1220,95.934124
1221,95.919495
1222,95.906729
1223,95.872764
1224,95.839774
1225,95.815483
1226,95.773777
1227,95.732159
1228,95.701064
1229,95.647349
1230,95.588116
1231,95.561774
1232,95.557659
1233,95.519674
1234,95.471082
1235,95.447873
1236,95.437253
1237,95.440809
1238,95.428277
1239,95.400044
1240,95.393394
1241,95.387944
1242,95.380672
1243,95.372632
1244,95.375229
1245,95.384159
1246,95.393558
1247,95.414797
1248,95.421317
1249,95.444682
1250,95.479623
1251,95.501542
1252,95.525389
1253,95.571141
1254,95.616603
1255,95.652047
1256,95.664865
1257,95.667779
1258,95.701683
1259,95.74819
1260,95.779533
1261,95.811311
1262,95.838819
1263,95.838136
1264,95.835387
1265,95.844604
1266,95.87014
1267,95.861254
1268,95.856447
1269,95.865638
1270,95.84657
1271,95.828486
1272,95.815519
1273,95.811291
1274,95.784054
1275,95.765359
1276,95.755885
1277,95.710339
1278,95.678687
1279,95.667559
1280,95.630284
1281,95.559736
1282,95.521714
1283,95.517382
1284,95.498233
1285,95.473793
1286,95.451441
1287,95.414922
1288,95.387188
1289,95.349956
1290,95.344283
1291,95.358823
1292,95.337846
1293,95.342944
1294,95.346588
1295,95.347959
1296,95.345086
1297,95.363285
1298,95.389323
1299,95.3888
1300,95.379341
1301,95.390552
1302,95.405149
1303,95.430169
1304,95.482694
1305,95.509536
1306,95.535393
1307,95.578931
1308,95.627055
1309,95.647383
1310,95.669925
1311,95.726075
1312,95.735003
1313,95.764738
1314,95.815755
1315,95.831782
1316,95.865394
1317,95.90245
1318,95.911166
1319,95.906702
1320,95.919191
1321,95.944789
1322,95.952791
1323,95.956145
1324,95.954416
1325,95.953725
1326,95.94392
1327,95.921172
1328,95.903853
1329,95.91435
1330,95.886961
1331,95.855074
1332,95.824262
1333,95.820584
1334,95.797473
1335,95.771872
1336,95.770555
1337,95.731279
1338,95.703683
1339,95.66245
1340,95.637608
1341,95.590062
1342,95.56534
1343,95.523067
1344,95.506335
1345,95.508342
1346,95.486707
1347,95.478539
1348,95.445468
1349,95.45701
1350,95.47188
1351,95.504551
1352,95.431016
1353,95.393311
1354,95.469841
1355,95.463005
1356,95.50388
1357,95.514971
1358,95.609046
1359,95.583578
1360,95.569199
1361,95.633997
1362,95.643974
1363,95.6595
1364,95.706072
1365,95.709478
1366,95.739479
1367,95.801457
1368,95.825337
1369,95.883255
1370,95.899409
1371,95.899688
1372,95.987167
1373,96.021657
1374,96.032428
1375,96.035782
1376,96.092127
1377,96.03282
1378,96.083339
1379,96.087508
1380,96.093068
1381,96.067616
1382,96.053813
1383,96.149865
1384,96.202719
1385,96.166335
1386,96.200589
1387,96.202767
1388,96.238737
1389,96.215669
1390,96.227258
1391,96.259773
1392,96.216474
1393,96.218183
1394,96.219485
1395,96.213807
1396,96.160883
1397,96.197431
1398,96.180847
1399,96.226924
1400,96.208863
1401,96.142465
1402,96.179254
1403,96.101381
1404,96.077176
1405,96.068134
1406,96.092759
1407,96.118864
1408,96.100314
1409,96.070863
1410,96.079248
1411,96.073282
1412,96.08831
1413,96.111034
1414,96.076092
1415,96.084661
1416,96.079083
1417,96.106061
1418,96.141366
1419,96.152027
1420,96.157495
1421,96.148618
1422,96.195473
1423,96.213965
1424,96.227238
1425,96.251996
1426,96.293875
1427,96.303669
1428,96.324929
1429,96.354191
1430,96.411715
1431,96.404185
1432,96.44503
1433,96.522025
1434,96.524914
1435,96.583713
1436,96.613431
1437,96.648017
1438,96.678235
1439,96.685775
1440,96.714259
1441,96.791941
1442,96.719388
1443,96.783931
1444,96.790838
1445,96.774392
1446,96.81166
1447,96.809503
1448,96.870549
1449,96.836683
1450,96.86741
1451,96.869036
1452,96.866521
1453,96.88068
1454,96.877545
1455,96.852112
1456,96.842636
1457,96.804745
1458,96.803285
1459,96.859104
1460,96.807471
1461,96.77483
1462,96.757066
1463,96.759973
1464,96.701316
1465,96.670657
1466,96.667019
1467,96.648487
1468,96.636117
1469,96.639623
1470,96.632335
1471,96.589624
1472,96.574428
1473,96.551929
1474,96.531693
1475,96.483279
1476,96.484662
1477,96.469164
1478,96.481293
1479,96.47517
1480,96.456906
1481,96.449751
1482,96.451063
1483,96.451641
