ILDIALCT,ilab_v1,FITS/CSV file dialect
268.200,1.000000e-10,8.068200e-07
268.400,8.793200e-07,9.356700e-07
268.600,1.000000e-10,1.062100e-06
268.800,1.000000e-10,1.153910e-06
269.000,1.819010e-06,1.187320e-06
269.200,1.538370e-06,1.154830e-06
269.400,1.000000e-10,1.072070e-06
269.600,6.641300e-07,9.727000e-07
269.800,1.000000e-10,8.978700e-07
270.000,3.228600e-07,8.813900e-07
270.200,1.831500e-07,9.375900e-07
270.400,1.104030e-06,1.057320e-06
270.600,1.000000e-10,1.213600e-06
270.800,1.000000e-10,1.373740e-06
271.000,2.811680e-06,1.514070e-06
271.200,1.727120e-06,1.628330e-06
271.400,1.000000e-10,1.727240e-06
271.600,1.187200e-07,1.829740e-06
271.800,2.234200e-06,1.950550e-06
272.000,1.000000e-10,2.090630e-06
272.200,2.875420e-06,2.235040e-06
272.400,1.000000e-10,2.358260e-06
272.600,1.000000e-10,2.433930e-06
272.800,1.000000e-10,2.444130e-06
273.000,1.000000e-10,2.383590e-06
273.200,1.000000e-10,2.258470e-06
273.400,1.000000e-10,2.081040e-06
273.600,1.764440e-06,1.865590e-06
273.800,1.000000e-10,1.626850e-06
274.000,1.533230e-06,1.381480e-06
274.200,1.000000e-10,1.151240e-06
274.400,1.000000e-10,9.641600e-07
274.600,1.000000e-10,8.506300e-07
274.800,1.660600e-07,8.347500e-07
275.000,1.000000e-10,9.235600e-07
275.200,9.897500e-07,1.101810e-06
275.400,1.423160e-06,1.329840e-06
275.600,2.031690e-06,1.552530e-06
275.800,1.000000e-10,1.714000e-06
276.000,2.869740e-06,1.776870e-06
276.200,1.913460e-06,1.736440e-06
276.400,1.000000e-10,1.623740e-06
276.600,1.104440e-06,1.496410e-06
276.800,1.000000e-10,1.419830e-06
277.000,4.851700e-07,1.443940e-06
277.200,2.785600e-07,1.585310e-06
277.400,1.000000e-10,1.820560e-06
277.600,3.831150e-06,2.094150e-06
277.800,1.000000e-10,2.336840e-06
278.000,1.000000e-10,2.487510e-06
278.200,2.179450e-06,2.510260e-06
278.400,3.017770e-06,2.399900e-06
278.600,1.000000e-10,2.178890e-06
278.800,7.298600e-07,1.886190e-06
279.000,1.224490e-06,1.564510e-06
279.200,1.735030e-06,1.252180e-06
279.400,1.000000e-10,9.805800e-07
279.600,1.000000e-10,7.744200e-07
279.800,9.810000e-08,6.534200e-07
280.000,1.000000e-10,6.306800e-07
280.200,1.000000e-10,7.092800e-07
280.400,1.000000e-10,8.783100e-07
280.600,1.000000e-10,1.111980e-06
280.800,1.221450e-06,1.375550e-06
281.000,3.424160e-06,1.632860e-06
281.200,1.000000e-10,1.855110e-06
281.400,1.547570e-06,2.026690e-06
281.600,1.000000e-10,2.144590e-06
281.800,1.000000e-10,2.214290e-06
282.000,1.000000e-10,2.242100e-06
282.200,1.000000e-10,2.232510e-06
282.400,1.000000e-10,2.187980e-06
282.600,2.736600e-06,2.115120e-06
282.800,1.000000e-10,2.027420e-06
283.000,1.568990e-06,1.945170e-06
283.200,1.292160e-06,1.889530e-06
283.400,7.244500e-07,1.873620e-06
283.600,1.955320e-06,1.894500e-06
283.800,1.000000e-10,1.931930e-06
284.000,1.000000e-10,1.952450e-06
284.200,2.865830e-06,1.922590e-06
284.400,1.000000e-10,1.822430e-06
284.600,1.335050e-06,1.652410e-06
284.800,1.177500e-07,1.435660e-06
285.000,2.043750e-06,1.213200e-06
285.200,5.367600e-07,1.034170e-06
285.400,1.000000e-10,9.436200e-07
285.600,1.000000e-10,9.723200e-07
285.800,1.000000e-10,1.128550e-06
286.000,1.000000e-10,1.393740e-06
286.200,1.000000e-10,1.723250e-06
286.400,1.470050e-06,2.052770e-06
286.600,4.263410e-06,2.310480e-06
286.800,1.000000e-10,2.436290e-06
287.000,1.000000e-10,2.394920e-06
287.200,1.000000e-10,2.186470e-06
287.400,1.000000e-10,1.847070e-06
287.600,1.000000e-10,1.439820e-06
287.800,1.136000e-08,1.038930e-06
288.000,7.220900e-07,7.130700e-07
288.200,1.000000e-10,5.127700e-07
288.400,1.000000e-10,4.658500e-07
288.600,1.000000e-10,5.752900e-07
288.800,6.400000e-08,8.217900e-07
289.000,1.000000e-10,1.170390e-06
289.200,3.303740e-06,1.574710e-06
289.400,3.562000e-07,1.981600e-06
289.600,3.304200e-06,2.338340e-06
289.800,1.000000e-10,2.598910e-06
290.000,1.000000e-10,2.736720e-06
290.200,1.000000e-10,2.749640e-06
290.400,1.000000e-10,2.662390e-06
290.600,2.887520e-06,2.519000e-06
290.800,1.000000e-10,2.371330e-06
291.000,3.752000e-07,2.261410e-06
291.200,5.158800e-07,2.211670e-06
291.400,4.413300e-06,2.218180e-06
291.600,1.000000e-10,2.253200e-06
291.800,1.000000e-10,2.279120e-06
292.000,1.000000e-10,2.262750e-06
292.200,7.302800e-07,2.189220e-06
292.400,3.645980e-06,2.070400e-06
292.600,1.000000e-10,1.945270e-06
292.800,1.000000e-10,1.870720e-06
293.000,6.395100e-07,1.907320e-06
293.200,1.887220e-06,2.095460e-06
293.400,1.233340e-06,2.436700e-06
293.600,3.605990e-06,2.882930e-06
293.800,1.617360e-06,3.341370e-06
294.000,1.000000e-10,3.697540e-06
294.200,8.039310e-06,3.851330e-06
294.400,1.000000e-10,3.751500e-06
294.600,1.000000e-10,3.419730e-06
294.800,6.527400e-07,2.947930e-06
295.000,8.495800e-07,2.470170e-06
295.200,1.393340e-06,2.119860e-06
295.400,2.018300e-07,1.986700e-06
295.600,1.000000e-10,2.088490e-06
295.800,3.369150e-06,2.373080e-06
296.000,1.000000e-10,2.739120e-06
296.200,4.056150e-06,3.072770e-06
296.400,4.564990e-06,3.283330e-06
296.600,4.133080e-06,3.325880e-06
296.800,1.946280e-06,3.203250e-06
297.000,2.101040e-06,2.953450e-06
297.200,1.115400e-06,2.632320e-06
297.400,3.913670e-06,2.297460e-06
297.600,1.000000e-10,1.997100e-06
297.800,1.000000e-10,1.763950e-06
298.000,2.552000e-08,1.617070e-06
298.200,1.348870e-06,1.563060e-06
298.400,1.345920e-06,1.597500e-06
298.600,1.000000e-10,1.703010e-06
298.800,3.034180e-06,1.847230e-06
299.000,1.000000e-10,1.988350e-06
299.200,7.772200e-07,2.082610e-06
299.400,1.476660e-06,2.091730e-06
