ILDIALCT,ilab_v1,FITS/CSV file dialect
443.000,3.171200e-07,8.019400e-07
444.000,3.562000e-07,8.477400e-07
445.000,1.000000e-10,9.108000e-07
446.000,1.857430e-06,9.759200e-07
447.000,1.142970e-06,1.025080e-06
448.000,1.000000e-10,1.044200e-06
449.000,1.000000e-10,1.029170e-06
450.000,1.000000e-10,9.888500e-07
451.000,1.000000e-10,9.419600e-07
452.000,1.000000e-10,9.106000e-07
453.000,1.000000e-10,9.123800e-07
454.000,6.645300e-07,9.533000e-07
455.000,1.000000e-10,1.024670e-06
456.000,1.103730e-06,1.106020e-06
457.000,1.000000e-10,1.172330e-06
458.000,2.018920e-06,1.203530e-06
459.000,1.327810e-06,1.192990e-06
460.000,1.000000e-10,1.150950e-06
461.000,1.000000e-10,1.101330e-06
462.000,5.915800e-07,1.072660e-06
463.000,1.000000e-10,1.086150e-06
464.000,7.592200e-07,1.145650e-06
465.000,1.330970e-06,1.235220e-06
466.000,1.000000e-10,1.323740e-06
467.000,1.000000e-10,1.377030e-06
468.000,2.358710e-06,1.369630e-06
469.000,1.095260e-06,1.294560e-06
470.000,5.273100e-07,1.164990e-06
471.000,1.000000e-10,1.008710e-06
472.000,1.000000e-10,8.581500e-07
473.000,1.000000e-10,7.400000e-07
474.000,1.000000e-10,6.687400e-07
475.000,1.000000e-10,6.452200e-07
476.000,7.467200e-07,6.594000e-07
477.000,6.468100e-07,6.962300e-07
478.000,7.086400e-07,7.396000e-07
479.000,1.125710e-06,7.759800e-07
480.000,3.456300e-07,7.955300e-07
481.000,1.217390e-06,7.918900e-07
482.000,7.921800e-07,7.631300e-07
483.000,1.000000e-10,7.126500e-07
484.000,1.000000e-10,6.505300e-07
485.000,1.000000e-10,5.937200e-07
486.000,1.000000e-10,5.628000e-07
487.000,1.000000e-10,5.772000e-07
488.000,1.000000e-10,6.481300e-07
489.000,3.251700e-07,7.726000e-07
490.000,4.210100e-07,9.309000e-07
491.000,1.916220e-06,1.089690e-06
492.000,1.000000e-10,1.210390e-06
493.000,1.000000e-10,1.260070e-06
494.000,1.580040e-06,1.221330e-06
495.000,9.353300e-07,1.097420e-06
496.000,4.606500e-07,9.106500e-07
