ILDIALCT,ilab_v1,FITS/CSV file dialect
620.000,3.586600e-07,1.107850e-06
621.000,1.000000e-10,9.468100e-07
622.000,1.000000e-10,8.343300e-07
623.000,1.079070e-06,7.688300e-07
624.000,1.717930e-06,7.421600e-07
625.000,8.474000e-08,7.431500e-07
626.000,1.000000e-10,7.590300e-07
627.000,6.877600e-07,7.795700e-07
628.000,9.604300e-07,7.962200e-07
629.000,1.143830e-06,8.060100e-07
630.000,1.000000e-10,8.130500e-07
631.000,1.033700e-06,8.284600e-07
632.000,1.000000e-10,8.697000e-07
633.000,1.000000e-10,9.558300e-07
634.000,4.527300e-07,1.100380e-06
635.000,8.818700e-07,1.300890e-06
636.000,1.358560e-06,1.537450e-06
637.000,3.407410e-06,1.773050e-06
638.000,1.817800e-06,1.962380e-06
639.000,2.616680e-06,2.064750e-06
640.000,1.165120e-06,2.055580e-06
641.000,3.565880e-06,1.935010e-06
642.000,1.000000e-10,1.725740e-06
643.000,1.799100e-07,1.466400e-06
644.000,3.284400e-07,1.199820e-06
645.000,9.215400e-07,9.616600e-07
646.000,6.466300e-07,7.747900e-07
647.000,3.832100e-07,6.484500e-07
648.000,1.922000e-06,5.821500e-07
649.000,1.979600e-07,5.709900e-07
650.000,1.000000e-10,6.085100e-07
651.000,1.000000e-10,6.870100e-07
652.000,2.781600e-07,7.966400e-07
653.000,1.765570e-06,9.228900e-07
654.000,1.312140e-06,1.050950e-06
655.000,1.609940e-06,1.166380e-06
656.000,1.612620e-06,1.261090e-06
657.000,1.027450e-06,1.333490e-06
658.000,1.302010e-06,1.388910e-06
659.000,7.131000e-07,1.434390e-06
660.000,1.000000e-10,1.474150e-06
661.000,2.095180e-06,1.508820e-06
662.000,1.000000e-10,1.536200e-06
663.000,1.889950e-06,1.554890e-06
664.000,1.000000e-10,1.565880e-06
665.000,6.173700e-07,1.573370e-06
666.000,2.344700e-06,1.580360e-06
667.000,8.830500e-07,1.586910e-06
668.000,1.617020e-06,1.587720e-06
669.000,1.000000e-10,1.574660e-06
670.000,2.196960e-06,1.541480e-06
671.000,2.174980e-06,1.486770e-06
672.000,1.758600e-07,1.416710e-06
