# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
516.07 1707.472
516.82 1686.891
517.57 1677.817
518.33 1689.49
519.08 1701.19
519.84 1712.917
520.59 1733.479
521.34 1754.885
522.10 1776.346
522.85 1789.018
523.61 1791.328
524.36 1793.638
525.11 1795.948
525.87 1800.411
526.62 1804.912
527.38 1809.418
528.13 1817.715
528.88 1829.923
529.64 1842.157
530.39 1854.42
531.15 1852.57
531.90 1850.478
532.65 1848.373
533.41 1849.735
534.16 1855.248
534.92 1860.769
535.67 1866.299
536.42 1868.871
537.18 1871.152
537.93 1873.433
538.69 1874.117
539.44 1871.795
540.19 1869.459
540.95 1867.109
541.70 1871.928
542.46 1878.943
543.21 1885.97
543.96 1892.423
544.72 1895.982
545.47 1899.545
546.23 1903.11
546.98 1904.305
547.73 1903.567
548.49 1902.819
549.24 1902.062
550.00 1904.904
550.75 1907.646
551.50 1910.388
552.26 1912.633
553.01 1913.49
553.77 1914.344
554.52 1915.195
555.27 1912.886
556.03 1908.385
556.78 1903.868
557.54 1899.335
558.29 1900.177
559.04 1901.602
559.80 1903.026
560.55 1904.972
561.31 1909.104
562.06 1913.24
562.81 1917.38
563.57 1919.488
564.32 1919.267
565.08 1919.041
565.83 1918.809
566.58 1920.363
567.34 1922.613
568.09 1924.862
568.85 1927.112
569.60 1932.947
570.35 1938.954
571.11 1944.969
571.86 1950.577
572.62 1954.193
573.37 1957.811
574.12 1961.433
574.88 1963.283
575.63 1962.107
576.39 1960.923
577.14 1959.732
577.89 1960.186
578.65 1961.994
579.40 1963.801
580.16 1965.607
580.91 1967.043
581.66 1968.326
582.42 1969.606
583.17 1970.884
583.93 1965.506
584.68 1958.925
585.43 1952.325
586.19 1945.706
586.94 1938.384
587.70 1931.019
588.45 1923.634
589.20 1917.058
589.96 1921.246
590.71 1925.439
591.47 1929.636
592.22 1934.075
592.97 1939.837
593.73 1945.608
594.48 1951.386
595.24 1955.794
595.99 1955.159
596.74 1954.519
597.50 1953.873
598.25 1952.727
599.01 1950.146
599.76 1947.555
600.51 1944.88
601.27 1943.373
602.02 1944.984
602.78 1946.594
603.53 1948.204
604.28 1949.037
605.04 1947.895
605.79 1946.747
606.55 1945.593
607.30 1942.803
608.05 1935.485
608.81 1928.149
609.56 1920.793
610.32 1913.058
611.07 1904.082
611.82 1895.083
612.58 1886.063
613.33 1878.111
614.09 1875.475
614.84 1872.83
615.59 1870.176
616.35 1868.199
617.10 1873.03
617.86 1877.866
618.61 1882.708
619.36 1887.556
620.12 1886.664
620.87 1885.727
621.63 1884.785
622.38 1883.838
623.13 1881.992
623.89 1880.011
624.64 1878.021
625.40 1876.024
626.15 1877.18
626.90 1879.476
627.66 1881.773
628.41 1884.071
629.17 1884.045
629.92 1882.28
630.67 1880.507
631.43 1878.728
632.18 1877.209
632.94 1876.099
633.69 1874.982
634.44 1873.86
635.20 1872.931
635.95 1872.843
636.71 1872.751
637.46 1872.655
638.21 1872.556
638.97 1870.472
639.72 1868.312
640.48 1866.144
641.23 1863.968
641.98 1862.064
642.74 1860.26
643.49 1858.448
644.25 1856.63
645.00 1854.881
645.75 1853.215
646.51 1851.542
647.26 1849.863
648.02 1848.155
648.77 1846.333
649.52 1844.504
650.28 1842.57
651.03 1840.462
651.79 1832.821
652.54 1824.26
653.29 1815.684
654.05 1807.091
654.80 1801.257
655.56 1797.883
656.31 1794.501
657.06 1791.111
657.82 1789.868
658.57 1798.692
659.33 1807.528
660.08 1816.376
660.83 1825.235
661.59 1829.219
662.34 1832.002
663.10 1834.788
663.85 1837.575
664.60 1838.849
665.36 1837.916
