# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
715.12 1634.916
715.88 1630.125
716.63 1626.646
717.38 1623.581
718.14 1620.514
718.89 1617.446
719.65 1614.376
720.40 1614.105
721.15 1613.837
721.91 1613.569
722.66 1613.301
723.42 1612.731
724.17 1611.043
724.92 1609.355
725.68 1607.665
726.43 1605.974
727.19 1603.852
727.94 1601.09
728.69 1598.327
729.45 1595.561
730.20 1592.794
730.96 1590.759
731.71 1589.282
732.46 1587.804
733.22 1586.324
733.97 1584.844
734.73 1581.707
735.48 1577.891
736.23 1574.073
736.99 1570.252
737.74 1566.43
738.50 1562.622
739.25 1558.815
740.00 1555.007
740.76 1551.196
741.51 1547.383
742.27 1546.702
743.02 1546.297
743.77 1545.891
744.53 1545.484
745.28 1545.077
746.04 1544.413
746.79 1543.744
747.54 1543.076
748.30 1542.406
749.05 1541.712
749.81 1540.256
750.56 1538.061
751.31 1535.613
752.07 1533.166
752.82 1530.698
753.58 1527.805
754.33 1524.914
755.08 1522.024
755.84 1519.136
756.59 1516.228
757.35 1512.834
758.10 1509.443
758.85 1506.053
759.61 1502.666
760.36 1499.275
761.12 1495.455
761.87 1491.637
762.62 1487.822
763.38 1484.009
764.13 1480.199
764.89 1476.406
765.64 1472.617
766.39 1468.83
767.15 1465.046
767.90 1461.264
768.66 1458.277
769.41 1455.408
770.16 1452.54
770.92 1449.674
771.67 1446.81
772.43 1444.538
773.18 1442.448
773.93 1440.359
774.69 1438.271
775.44 1436.184
776.20 1434.064
776.95 1431.925
777.70 1429.786
778.46 1427.649
779.21 1425.513
779.97 1422.941
780.72 1419.88
781.47 1416.821
782.23 1413.764
782.98 1410.709
783.74 1407.606
784.49 1404.382
785.24 1401.16
786.00 1397.94
786.75 1394.722
787.51 1391.413
788.26 1386.984
789.01 1382.557
789.77 1378.134
790.52 1373.713
791.28 1369.296
792.03 1365.769
792.78 1362.414
793.54 1359.061
794.29 1355.71
795.05 1352.361
795.80 1350.003
796.55 1348.37
797.31 1346.739
798.06 1345.108
798.82 1343.477
799.57 1341.47
800.32 1338.366
801.08 1335.057
801.83 1331.751
802.59 1328.448
803.34 1325.149
804.09 1321.632
804.85 1318.113
805.60 1314.597
806.36 1311.084
807.11 1307.575
807.86 1304.562
808.62 1301.842
809.37 1299.125
810.13 1296.41
810.88 1293.698
811.63 1290.778
812.39 1287.259
813.14 1283.743
813.90 1280.231
814.65 1276.723
815.40 1273.218
816.16 1268.424
816.91 1263.43
817.67 1258.44
818.42 1253.457
819.17 1248.479
819.93 1244.579
820.68 1242.053
821.44 1239.529
822.19 1237.007
822.94 1234.488
823.70 1231.971
824.45 1230.085
825.21 1228.209
825.96 1226.334
826.71 1224.461
827.47 1222.588
828.22 1219.768
828.98 1216.036
829.73 1212.308
830.48 1208.583
831.24 1204.863
831.99 1201.15
832.75 1198.182
833.50 1195.217
834.25 1192.255
835.01 1189.296
835.76 1186.34
836.52 1183.523
837.27 1180.862
838.02 1178.203
838.78 1175.547
839.53 1172.893
840.29 1170.242
841.04 1166.548
841.79 1162.754
842.55 1158.965
843.30 1155.179
844.06 1151.398
844.81 1146.696
845.56 1140.042
846.32 1133.396
847.07 1126.758
847.83 1120.129
848.58 1113.508
849.33 1106.724
850.09 1099.914
850.84 1093.388
851.60 1086.867
852.35 1080.351
853.10 1074.263
853.86 1074.831
854.61 1075.398
855.37 1075.965
856.12 1076.531
856.87 1077.095
857.63 1077.493
858.38 1077.624
859.14 1077.755
859.89 1077.885
860.64 1078.015
861.40 1078.144
862.15 1074.681
862.91 1069.565
863.66 1064.453
864.41 1059.345
865.17 1054.241
865.92 1049.14
866.68 1048.579
867.43 1048.238
868.18 1047.898
868.94 1047.557
869.69 1047.216
870.45 1047.078
871.20 1047.781
871.95 1048.482
872.71 1049.182
873.46 1049.881
874.22 1050.579
874.97 1050.177
875.72 1048.175
876.48 1046.174
877.23 1044.175
877.99 1042.177
878.74 1040.18
879.49 1038.007
880.25 1035.712
881.00 1033.418
881.76 1031.126
882.51 1028.836
883.26 1026.547
884.02 1024.987
884.77 1023.68
885.53 1022.373
886.28 1021.067
887.03 1019.762
887.79 1018.458
888.54 1017.114
889.30 1015.764
890.05 1014.416
890.80 1013.068
891.56 1011.721
892.31 1010.375
893.07 1007.824
893.82 1005.229
894.57 1002.635
895.33 1000.043
896.08 997.4534
896.84 994.8558
897.59 991.9309
898.34 989.0082
899.10 986.0875
899.85 983.1691
900.61 980.6714
901.36 978.3427
902.11 977.0001
902.87 975.6573
903.62 974.3141
904.38 972.9707
905.13 971.627
905.88 970.287
906.64 968.9997
907.39 967.7122
908.15 966.4243
908.90 965.1362
909.65 963.8478
910.41 962.5706
911.16 961.5341
911.92 960.4974
912.67 959.4604
913.42 958.4233
914.18 957.3859
914.93 956.3483
915.69 953.7162
916.44 951.0687
917.19 948.4206
917.95 945.772
918.70 943.1228
919.46 940.4731
920.21 938.0559
920.96 935.6625
921.72 933.2686
922.47 930.8742
923.23 928.4793
923.98 926.0839
924.73 925.5765
925.49 925.5698
926.24 925.563
927.00 925.5562
927.75 925.5494
928.50 925.5425
929.26 925.1936
930.01 924.6558
930.77 924.118
931.52 923.58
932.27 923.0419
933.03 922.5037
933.78 921.2016
934.54 919.0315
935.29 916.861
936.04 914.6901
936.80 912.5187
937.55 910.3469
938.31 908.2273
939.06 906.2571
939.81 904.2866
940.57 902.3157
941.32 900.3443
942.08 898.3726
942.83 896.429
943.58 895.8013
944.34 895.1735
945.09 894.5456
945.85 893.9175
946.60 893.2893
947.35 892.6609
948.11 891.3582
948.86 889.8312
949.62 888.3039
950.37 886.9274
951.12 885.7065
951.88 884.4841
952.63 883.2216
953.39 881.9102
954.14 880.5973
954.89 879.2828
955.65 877.9669
956.40 876.6495
957.16 875.4131
957.91 874.809
958.66 874.2041
959.42 873.5983
960.17 872.9915
960.93 872.384
961.68 871.7755
962.43 871.0284
963.19 870.2346
963.94 869.4398
964.70 868.6439
965.45 867.8469
966.20 867.049
966.96 866.2854
967.71 865.5854
968.47 864.8846
969.22 864.1827
969.97 863.4799
970.73 862.7762
971.48 862.0715
972.24 861.1974
972.99 860.3084
973.74 859.4183
974.50 858.5271
975.25 857.6348
976.01 856.7413
976.76 855.9147
977.51 855.1657
978.27 854.4157
979.02 853.6648
979.78 852.9129
980.53 852.16
981.28 851.4061
982.04 850.521
982.79 849.6307
983.55 848.7392
984.30 847.8467
985.05 846.9531
985.81 846.0584
986.56 845.2066
987.32 844.409
988.07 843.6105
988.82 842.8109
989.58 842.0103
990.33 841.2087
991.09 840.4061
991.84 839.6899
992.59 838.9842
993.35 838.2776
994.10 837.5701
994.86 836.8616
995.61 836.1522
996.36 835.1854
997.12 833.5985
997.87 832.01
998.63 830.4198
999.38 828.8279
1000.13 827.2343
1000.89 825.639
1001.64 824.1096
1002.40 822.6126
1003.15 821.1139
1003.90 819.6137
1004.66 818.1119
1005.41 816.6085
1006.17 815.1127
1006.92 814.7696
1007.67 814.4259
1008.43 814.0816
1009.18 813.7367
1009.94 813.3912
1010.69 813.0451
1011.44 812.491
1012.20 811.5022
1012.95 810.5122
1013.71 809.5211
1014.46 808.5289
1015.21 807.5355
1015.97 806.541
1016.72 805.6878
1017.48 804.9288
1018.23 804.1689
1018.98 803.408
1019.74 802.6462
1020.49 801.8834
1021.25 801.1197
1022.00 800.5889
1022.75 800.1033
1023.51 799.6171
1024.26 799.1301
1025.02 798.6424
1025.77 798.154
1026.52 797.6363
1027.28 796.5103
1028.03 795.3832
1028.79 794.2547
1029.54 793.1251
1030.29 791.9941
1031.05 790.862
1031.80 789.7298
1032.56 788.6008
1033.31 787.4706
1034.06 786.3391
1034.82 785.2065
1035.57 784.0725
1036.33 782.9373
1037.08 781.9019
1037.83 781.0465
1038.59 780.19
1039.34 779.3325
1040.10 778.4741
1040.85 777.6146
1041.60 776.7541
1042.36 775.9378
1043.11 775.1731
1043.87 774.4075
1044.62 773.641
1045.37 772.8736
1046.13 772.1052
1046.88 771.336
1047.64 770.5918
1048.39 769.8704
1049.14 769.148
1049.90 768.4248
1050.65 767.7703
1051.41 767.1256
1052.16 766.4798
1052.91 765.5559
1053.67 764.415
1054.42 763.2724
1055.18 762.1283
1055.93 760.9825
1056.68 759.8351
1057.44 758.6861
1058.19 757.5134
1058.95 756.3216
1059.70 755.1282
1060.45 753.9332
1061.21 752.7365
1061.96 751.5381
1062.72 750.3381
1063.47 749.0692
1064.22 747.739
1064.98 746.4071
1065.73 745.0734
1066.49 743.7379
1067.24 742.4006
1067.99 741.0616
1068.75 739.8918
1069.50 738.9202
1070.26 737.9471
1071.01 736.9727
1071.76 735.9969
1072.52 735.0196
1073.27 734.041
1074.03 733.0946
1074.78 732.2085
1075.53 731.3211
1076.29 730.4324
1077.04 729.5424
1077.80 728.6512
1078.55 727.7586
1079.30 726.8172
1080.06 725.7037
1080.81 724.5887
1081.57 723.4721
1082.32 722.354
1083.07 721.2344
1083.83 720.1132
1084.58 718.9871
1085.34 717.7812
1086.09 716.5736
1086.84 715.3645
1087.60 714.1537
1088.35 712.9413
1089.11 711.7273
1089.86 710.5117
1090.61 709.2646
1091.37 708.0095
1092.12 706.7527
1092.88 705.4944
1093.63 704.2343
1094.38 702.9726
1095.14 701.7093
1095.89 701.1678
1096.65 701.1649
1097.40 701.1617
1098.15 701.1581
1098.91 701.1541
1099.66 701.1498
1100.42 701.1745
1101.17 701.2625
1101.92 701.4467
1102.68 701.6307
1103.43 701.8144
1104.19 701.9979
1104.94 702.1811
1105.69 702.364
1106.45 702.5467
1107.20 702.1218
1107.96 701.6776
1108.71 701.2325
1109.46 700.7864
1110.22 700.3393
1110.97 699.8912
1111.73 699.4421
1112.48 698.8312
1113.23 698.1162
1113.99 697.3999
1114.74 696.6823
1115.50 695.9635
1116.25 695.2433
1117.00 694.5219
1117.76 693.7813
1118.51 692.9717
1119.27 692.1608
1120.02 691.3485
1120.77 690.5348
1121.53 689.7197
1122.28 688.9032
1123.04 688.0854
1123.79 687.3061
1124.54 686.5367
1125.30 685.7659
1126.05 684.9939
1126.81 684.2204
1127.56 683.4457
1128.31 682.6696
1129.07 681.951
1129.82 681.3589
1130.58 680.7657
1131.33 680.1713
1132.08 679.5758
1132.84 678.9792
1133.59 678.3815
1134.35 677.7827
1135.10 677.2197
1135.85 676.6651
1136.61 676.1094
1137.36 675.5527
1138.12 674.9949
1138.87 674.436
1139.62 673.8761
1140.38 673.4338
1141.13 673.3242
1141.89 673.214
1142.64 673.1032
1143.39 672.9919
1144.15 672.88
1144.90 672.7676
1145.66 672.6547
1146.41 672.4525
1147.16 672.2073
1147.92 671.9615
1148.67 671.7149
1149.43 671.4676
1150.18 671.1981
1150.93 670.8594
1151.69 670.4867
1152.44 669.4809
1153.20 668.4741
1153.95 667.4662
1154.70 666.4571
1155.46 665.447
1156.21 664.4357
1156.97 663.4234
1157.72 662.4135
1158.47 661.4079
1159.23 660.4012
1159.98 659.3934
1160.74 658.3845
1161.49 657.3745
1162.24 656.3634
1163.00 655.3512
1163.75 654.7403
1164.51 654.3075
1165.26 653.8742
1166.01 653.4402
1166.77 653.0057
1167.52 652.5705
1168.28 652.1347
1169.03 651.6984
1169.78 651.0948
1170.54 650.4836
1171.29 649.8716
1172.05 649.2589
1172.80 648.6454
1173.55 648.0312
1174.31 647.4163
1175.06 646.7515
1175.82 645.8742
1176.57 644.996
1177.32 644.1169
1178.08 643.2367
1178.83 642.3556
1179.59 641.4736
1180.34 640.5905
1181.09 639.7918
1181.85 639.1334
1182.60 638.4742
1183.36 637.8143
1184.11 637.1535
1184.86 636.492
1185.62 635.8297
1186.37 635.1667
1187.13 634.5523
1187.88 633.9819
1188.63 633.4108
1189.39 632.839
1190.14 632.2665
1190.90 631.6933
1191.65 631.1195
1192.40 630.5449
1193.16 629.753
1193.91 628.8279
1194.67 627.9017
1195.42 626.9746
1196.17 626.0464
1196.93 625.1173
1197.68 624.1872
1198.44 623.2561
1199.19 622.54
1199.94 621.9204
1200.70 621.2318
1201.45 620.5372
1202.21 619.8421
1202.96 619.1464
1203.71 618.4503
1204.47 617.7536
1205.22 617.3743
1205.98 617.1191
1206.73 616.8635
1207.48 616.6078
1208.24 616.3517
1208.99 616.0955
1209.75 615.8389
1210.50 615.5821
1211.25 615.5122
1212.01 615.5192
1212.76 615.5261
1213.52 615.5329
1214.27 615.5396
1215.02 615.5462
1215.78 615.5527
1216.53 615.5591
1217.29 615.2508
1218.04 614.7784
1218.79 614.3057
1219.55 613.8326
1220.30 613.359
1221.06 612.8851
1221.81 612.4109
1222.56 611.9362
1223.32 611.3396
1224.07 610.6501
1224.83 609.96
1225.58 609.2694
1226.33 608.5783
1227.09 607.8866
1227.84 607.1945
1228.60 606.5018
1229.35 605.8301
1230.10 605.1854
1230.86 604.5402
1231.61 603.8945
1232.37 603.2483
1233.12 602.6016
1233.87 601.9545
1234.63 601.3069
1235.38 600.6484
1236.14 599.9592
1236.89 599.2696
1237.64 598.5794
1238.40 597.8887
1239.15 597.1975
1239.91 596.5058
1240.66 595.8136
1241.41 595.125
1242.17 594.5222
1242.92 593.919
1243.68 593.3153
1244.43 592.7112
1245.18 592.1066
1245.94 591.5016
1246.69 590.8961
1247.45 590.2902
1248.20 589.6535
1248.95 589.0087
1249.71 588.3634
1250.46 587.7218
1251.22 587.0823
1251.97 586.4424
1252.72 585.8019
1253.48 585.161
1254.23 584.5003
1254.99 583.8194
1255.74 583.138
1256.49 582.4561
1257.25 581.7736
1258.00 581.0907
1258.76 580.4072
1259.51 579.7232
1260.26 579.0522
1261.02 578.4568
1261.77 577.8609
1262.53 577.2646
1263.28 576.6678
1264.03 576.0705
1264.79 575.4728
1265.54 574.8746
1266.30 574.2759
1267.05 573.5483
1267.80 572.7816
1268.56 572.0143
1269.31 571.2464
1270.07 570.478
1270.82 569.7091
1271.57 568.9395
1272.33 568.1694
1273.08 567.1636
1273.84 565.7154
1274.59 564.2661
1275.34 562.816
1276.10 561.3648
1276.85 559.9127
